DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,P6016,P6020,P6030S1,P6030S3,P6040,P6050,P6080,P6080S1,P6070,P6081,P6081S1,P6083,P6083S1,P6071,P6071S1,P3147S1,P3147S2,P3147S3,P3147S4,P3147S5,P3147S6,P3147S7,P3147S8,P3147S9,P3147S10,P3147S11,P3147S10A1,P3246,P6090,P6140,P6150,P6100,P6110,P6120,P6125,P6160,P6170,P6175,P6210,P6210S1,P6220,P6269,CLASE,ESC,MES,DPTO,fex_c_2011
5352480,1,1,1,10,1,2,1,1954,67,1,6,,5,3,,3,,,,,,,,,,,,,,1,,1,1,,,3,,,2,1,2,,3,4,,,2,4,01,15,831.35450656
5352481,1,1,1,10,1,2,4,1957,63,1,6,,5,3,,3,,,,,,,,,,,,1,,,,1,1,,,3,,,2,1,2,,4,9,,,2,9,01,15,1608.8819684
5352481,1,2,1,10,2,1,5,1983,37,3,6,,6,3,,1,1,,,,,1,,,,1,,1,,,,,2,1,6,,,,2,1,2,,4,9,,,2,9,01,15,1608.8819684
5352481,1,3,1,10,1,1,3,2014,6,4,6,,,2,,2,,,,,,,,,,,,,,,,,1,,,1,5,,2,1,1,1,3,1,,,2,1,01,15,1608.8819684
5352482,1,1,1,10,1,1,9,1946,74,1,6,,5,3,,3,,,,,,,,,,,,,,1,,1,1,,,3,,,2,1,2,,3,1,,,2,1,01,15,1017.0063245
5352483,1,1,1,10,1,1,8,1947,73,1,6,,5,3,,3,,,,,,,,,,,,,,1,,2,1,,,3,,,2,1,2,,4,8,,,2,8,01,15,1017.0063245
5352488,1,1,1,10,1,2,7,1967,53,1,6,,4,2,,2,,,,,,1,1,,,1,,1,,,,1,1,,,3,,,2,1,2,,3,3,,,2,3,01,15,3741.0952795
5352488,1,2,1,10,2,2,4,2001,19,3,6,,6,2,,1,1,,,,,,,,,,,,,1,,,1,,,3,,,2,1,2,,5,11,2,,2,11,01,15,3741.0952795
5352488,1,3,1,10,2,2,12,2020,0,4,6,,,2,,1,2,,,,,,,,,,,,,,,,2,2,,,,,2,,,,,,,,2,,01,15,3741.0952795
5352488,1,4,1,10,4,1,1,2003,17,3,6,,6,2,,1,1,,,,,1,1,,,1,,1,,,,,1,,,3,,,2,1,2,,4,7,,,2,7,01,15,3741.0952795
5352489,1,1,1,10,1,1,1,1990,31,1,6,,3,2,,2,,1,2,,,1,1,,,1,,1,,,,1,1,,,3,,,2,1,2,,3,3,,,2,3,01,15,831.35450656
5352489,1,2,1,10,2,2,4,1990,30,2,6,,3,2,,2,,1,1,,,,,1,,1,,,,,,,1,,,3,,,2,1,2,,4,7,,,2,7,01,15,831.35450656
5352489,1,3,1,10,3,2,1,2005,15,3,6,,6,2,,1,2,,,,,,,,,,1,,,,,,1,,,3,,,2,1,1,1,4,9,,,2,9,01,15,831.35450656
5352489,1,4,1,10,4,2,10,2007,13,3,6,,6,1,1,1,2,,,,,,,,,,1,,,,,,1,,,3,,,2,1,1,1,4,7,,,2,7,01,15,831.35450656
5352489,1,5,1,10,2,2,3,2015,5,3,6,,,1,1,1,2,,,,,,,,,,,,,,,,1,,,3,,,2,2,1,1,3,0,,,2,0,01,15,831.35450656
5352496,1,1,1,10,1,1,10,1944,76,1,6,,3,3,,3,,1,2,,,,,,,,,,,1,,1,1,,,3,,,2,1,2,,3,1,,,2,1,01,15,831.35450656
5352496,1,2,1,10,2,2,6,1945,75,2,6,,3,3,,3,,1,1,,,,,,,,,,,1,,,1,,,3,,,2,1,2,,3,1,,,2,1,01,15,831.35450656
5352497,1,1,1,10,1,2,10,1934,86,1,6,,5,3,,3,,,,,,,,,,,,,,1,,2,1,,,1,5,,2,1,2,,3,3,,,2,3,01,15,831.35450656
5352498,1,1,1,10,1,1,10,1967,53,1,6,,3,2,,2,,1,2,,,,1,,,,,,,,,1,1,,,3,,,2,1,2,,3,5,,,2,5,01,15,831.35450656
5352498,1,2,1,10,2,2,12,1973,47,2,6,,3,2,,2,,1,1,,,,1,,,,,,,,,,1,,,3,,,2,1,2,,3,5,,,2,5,01,15,831.35450656
5352498,1,3,1,10,3,1,7,1993,27,3,6,,6,1,1,1,2,,,,,,1,,,,,,,,,,1,,,3,,,2,1,2,,5,11,2,,2,11,01,15,831.35450656
5352532,1,1,1,10,1,1,2,1991,29,1,1,720_01,2,2,,2,,1,2,,1,,,,,,,1,,,,1,1,,,3,,,2,2,2,,1,0,,,2,0,01,44,2102.9180885
5352532,1,2,1,10,2,2,4,1998,22,2,1,720_01,2,2,,2,,1,1,,,,,,,,,,,1,,,1,,,3,,,2,1,2,,3,1,,,2,1,01,44,2102.9180885
5352532,1,3,1,10,2,2,8,2015,5,3,1,720_01,,1,1,1,2,,,,,,,,,,,,,,,,1,,,3,,,2,2,2,,1,0,,,2,0,01,44,2102.9180885
5352532,1,4,1,10,2,1,8,2017,3,3,1,720_01,,1,1,1,2,,,,,,,,,,,,,,,,1,,,3,,,2,2,2,,1,0,,,2,0,01,44,2102.9180885
5352532,1,5,1,10,2,1,11,2019,1,3,1,720_01,,1,1,1,2,,,,,,,,,,,,,,,,1,,,3,,,2,,,,,,,,2,,01,44,2102.9180885
5352533,1,1,1,10,1,1,9,1980,40,1,1,720_01,6,3,,2,,,,,,,,,,,,1,,,,1,1,,,3,,,2,2,2,,1,0,,,2,0,01,44,1594.6875623
5352534,1,1,1,10,1,1,3,1998,22,1,1,720_01,2,2,,2,,1,2,,,,1,,,,,1,,,,1,1,,,3,,,2,1,2,,3,5,,,2,5,01,44,2049.5972069
5352534,1,2,1,10,2,2,3,1997,23,2,1,720_01,2,2,,2,,1,1,,,,,,,,,1,,,,,1,,,3,,,2,1,1,1,4,9,,,2,9,01,44,2049.5972069
5352534,1,3,1,10,2,2,1,2014,6,3,1,720_01,,1,1,1,2,,,,,,,,,,,,,,,,1,,,3,,,2,1,1,1,3,1,,,2,1,01,44,2049.5972069
5352534,1,4,1,10,2,2,3,2020,0,3,1,720_01,,1,1,1,2,,,,,,,,,,,,,,,,1,,,3,,,2,,,,,,,,2,,01,44,2049.5972069
5352535,1,1,1,10,1,1,1,1997,24,1,1,720_01,2,2,,2,,1,2,1,1,1,1,,,,,,,,,1,1,,,3,,,2,1,2,,3,2,,,2,2,01,44,2040.2935159
5352535,1,2,1,10,2,2,11,1997,23,2,1,720_01,2,2,,2,,1,1,,,,,,,,,1,,,,,2,1,48,,,,1,1,2,,4,7,,,2,7,01,44,2040.2935159
5352535,1,3,1,10,2,2,6,2017,3,3,1,720_01,,1,1,1,2,,,,,,,,,,,,,,,,1,,,3,,,2,2,2,,1,0,,,2,0,01,44,2040.2935159
5352535,1,4,1,10,2,1,2,2020,0,3,1,720_01,,1,1,1,2,,,,,,,,,,,,,,,,2,2,,,,,2,,,,,,,,2,,01,44,2040.2935159
5352536,1,1,1,10,1,1,10,1995,25,1,1,720_01,2,2,,2,,1,2,,,,,,,,,1,,,,1,1,,,3,,,2,1,2,,3,2,,,2,2,01,44,2318.3443675
5352536,1,2,1,10,2,2,3,1998,22,2,1,720_01,2,2,,2,,1,1,,,,,,,,,1,,,,,1,,,3,,,2,1,2,,4,7,,,2,7,01,44,2318.3443675
5352536,1,3,1,10,2,2,10,2015,5,3,1,720_01,,1,1,1,2,,,,,,,,,,,,,,,,1,,,3,,,2,2,2,,1,0,,,2,0,01,44,2318.3443675
5352536,1,4,1,10,2,2,6,2017,3,3,1,720_01,,1,1,1,2,,,,,,,,,,,,,,,,1,,,3,,,2,2,2,,1,0,,,2,0,01,44,2318.3443675
5352536,1,5,1,10,2,2,1,2019,1,3,1,720_01,,1,1,1,2,,,,,,,,,,,,,,,,1,,,3,,,2,,,,,,,,2,,01,44,2318.3443675
5352536,1,6,1,10,2,2,10,2020,0,3,1,720_01,,1,1,1,2,,,,,,,,,,,,,,,,2,2,,,,,2,,,,,,,,2,,01,44,2318.3443675
5352538,1,1,1,10,1,1,8,1959,61,1,1,720_01,2,3,,2,,1,2,,,,,,,,,,,1,,2,1,,,3,,,2,2,2,,1,0,,,2,0,01,44,1932.3200277
5352538,1,2,1,10,2,2,9,1980,40,2,1,720_01,2,2,,3,,1,1,,,,,,,,,,,1,,,1,,,3,,,2,1,2,,1,0,,,2,0,01,44,1932.3200277
5352538,1,3,1,10,3,1,5,1999,21,3,1,720_01,6,3,,1,2,,,,,,,,,,,,,1,,,1,,,3,,,2,1,2,,4,6,,,2,6,01,44,1932.3200277
5352538,1,4,1,10,4,2,7,2001,19,3,1,720_01,6,1,1,1,2,,,,,,,,,,,,,1,,,1,,,3,,,2,1,1,1,4,9,,,2,9,01,44,1932.3200277
5352538,1,5,1,10,2,2,8,2008,12,3,1,720_01,6,1,1,1,2,,,,,,,,,,1,,,,,,1,,,3,,,2,1,1,1,3,3,,,2,3,01,44,1932.3200277
5352538,1,6,1,10,2,1,1,2011,10,3,1,720_01,6,1,1,1,2,,,,,,,,,,1,,,,,,1,,,3,,,2,1,1,1,3,3,,,2,3,01,44,1932.3200277
5352538,1,7,1,10,4,1,4,2013,7,3,1,720_01,,1,1,1,2,,,,,,,,,,,,,,,,1,,,3,,,2,1,1,1,3,1,,,2,1,01,44,1932.3200277
