DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,AREA,CLASE,P6290,P6290S1,P6230,P6240,P6240S1,P6250,P6260,P6270,P6280,P6300,P6310,P6310S1,P6320,P6330,P6340,P6350,P6351,MES,DPTO,fex_c_2011
5332850,1,1,1,50,76,1,,,1,4,,2,2,2,2,2,,,,,,,,01,76,1307.2318022
5332850,1,2,1,50,76,1,,,2,1,,,,,,,,,,,,,,01,76,1307.2318022
5332850,1,3,1,50,76,1,,,1,1,,,,,,,,,,,,,,01,76,1307.2318022
5332850,1,4,1,50,76,1,,,1,3,,2,2,2,2,2,,,,,,,,01,76,1307.2318022
5332850,1,5,1,50,76,1,,,5,3,,2,2,2,2,2,,,,,,,,01,76,1307.2318022
5332851,1,1,1,50,76,1,,,1,4,,2,2,2,2,2,,,,,,,,01,76,919.74557592
5332851,1,2,1,50,76,1,,,2,1,,,,,,,,,,,,,,01,76,919.74557592
5332852,1,1,1,50,76,1,,,1,2,,1,,,,,,,,,,,,01,76,1104.8016632
5332852,1,2,1,50,76,1,,,1,4,,2,2,2,2,2,,,,,,,,01,76,1104.8016632
5332853,1,1,1,50,76,1,,,1,4,,2,2,2,2,2,,,,,,,,01,76,943.65814299
5332854,1,1,1,50,76,1,,,1,4,,1,,,,,,,,,,,,01,76,1045.7969214
5332854,1,2,1,50,76,1,1,,1,6,TRABAJO MARGINAL,2,2,2,1,,,,,,,,1,01,76,1045.7969214
5332854,1,3,1,50,76,1,1,,1,6,DESCANSAR,2,2,2,1,,,,,,,,1,01,76,1045.7969214
5332855,1,1,1,50,76,1,,,1,6,CONVALECIENTE,2,2,2,2,1,11,,,,,,,01,76,966.4771524
5332855,1,2,1,50,76,1,,,2,4,,2,2,2,2,2,,,,,,,,01,76,966.4771524
5332855,1,3,1,50,76,1,2,,3,6,DESCANSAR,2,2,2,1,,,,,,,,1,01,76,966.4771524
5332855,1,4,1,50,76,1,,,2,1,,,,,,,,,,,,,,01,76,966.4771524
5332855,1,5,1,50,76,1,,,2,6,DESCANSAR,2,2,2,2,2,,,,,,,,01,76,966.4771524
5332855,1,7,1,50,76,1,,,7,4,,2,2,2,2,1,13,TEMOR POR LA PANDEMIA DEL COVOD 19,,,,,,01,76,966.4771524
5332855,1,8,1,50,76,1,,,2,6,DASCANSAR,2,2,2,2,2,,,,,,,,01,76,966.4771524
5332856,1,1,1,50,19,1,,,1,1,,,,,,,,,,,,,,01,19,70.143052932
5332856,1,2,1,50,19,1,,,1,3,,2,2,2,2,2,,,,,,,,01,19,70.143052932
5332856,1,4,1,50,19,1,,,1,6,DESCANSANDO,2,2,2,2,2,,,,,,,,01,19,70.143052932
5332857,1,1,1,50,19,1,,,1,1,,,,,,,,,,,,,,01,19,139.86681426
5332857,1,2,1,50,19,1,,,2,6,DESCANSANDO,2,1,,,,,,,,,,,01,19,139.86681426
5332857,1,3,1,50,19,1,,,3,3,,2,2,2,2,2,,,,,,,,01,19,139.86681426
5332857,1,4,1,50,19,1,,,4,3,,2,2,2,2,2,,,,,,,,01,19,139.86681426
5332858,1,1,1,50,19,1,,,1,6,DESCANSANDO,2,2,2,2,2,,,,,,,,01,19,82.385068706
5332858,1,2,1,50,19,1,,,1,4,,2,2,2,2,2,,,,,,,,01,19,82.385068706
5332858,1,3,1,50,19,1,2,,1,2,,2,2,2,1,,,,,,,,1,01,19,82.385068706
5332858,1,4,1,50,19,1,2,,1,6,DILIGENCIAS PERSONALES,2,2,2,1,,,,,,,,2,01,19,82.385068706
5332858,1,5,1,50,19,1,,,1,1,,,,,,,,,,,,,,01,19,82.385068706
5332859,1,1,1,50,19,1,,,1,6,DESCANSANDO,2,2,2,2,2,,,,,,,,01,19,156.41828331
5332859,1,2,1,50,19,1,1,,1,2,,2,2,2,1,,,,,,,,2,01,19,156.41828331
5332859,1,3,1,50,19,1,,,1,4,,2,2,2,2,2,,,,,,,,01,19,156.41828331
5332860,1,1,1,50,19,1,,,1,1,,,,,,,,,,,,,,01,19,141.15642035
5332860,1,2,1,50,19,1,,,2,4,,2,2,2,2,2,,,,,,,,01,19,141.15642035
5332861,1,1,1,50,19,1,,,1,4,,2,2,2,2,2,,,,,,,,01,19,126.05918614
5332861,1,2,1,50,19,1,,,2,1,,,,,,,,,,,,,,01,19,126.05918614
5332862,1,1,1,50,19,1,,,1,6,DESCANSANDO,2,2,2,2,2,,,,,,,,01,19,102.34463454
5332862,1,2,1,50,19,1,,,2,4,,2,2,2,2,2,,,,,,,,01,19,102.34463454
5332862,1,3,1,50,19,1,,,3,6,OCIO,2,2,2,2,2,,,,,,,,01,19,102.34463454
5332863,1,1,1,50,19,1,1,,1,3,,2,2,2,1,,,,,,,,1,01,19,116.39479336
5332864,1,1,1,50,05,1,,,1,6,Estaba hospitalizado,2,1,,,,,,,,,,,01,05,1226.7129172
5332864,1,2,1,50,05,1,,,2,4,,2,2,2,2,1,11,,,,,,,01,05,1226.7129172
5332864,1,3,1,50,05,1,2,,3,4,,2,2,2,1,,,,,,,,2,01,05,1226.7129172
5332864,1,4,1,50,05,1,1,,4,2,,2,2,2,1,,,,,,,,1,01,05,1226.7129172
5332871,1,1,1,50,17,1,,,1,1,,,,,,,,,,,,,,01,17,201.3798871
5332871,1,2,1,50,17,1,2,,2,2,,2,2,2,1,,,,,,,,1,01,17,201.3798871
5332871,1,3,1,50,17,1,,,1,6,VER TELEVISION,2,2,2,2,2,,,,,,,,01,17,201.3798871
5332872,1,1,1,50,17,1,,,1,1,,,,,,,,,,,,,,01,17,187.11179144
5332872,1,2,1,50,17,1,,,2,1,,,,,,,,,,,,,,01,17,187.11179144
5332873,1,1,1,50,17,1,,,1,1,,,,,,,,,,,,,,01,17,223.68780568
5332874,1,1,1,50,17,1,2,,1,2,,2,2,2,1,,,,,,,,1,01,17,229.71195629
5332874,1,2,1,50,17,1,2,,2,2,,2,2,2,1,,,,,,,,1,01,17,229.71195629
5332874,1,4,1,50,17,1,2,,4,2,,2,2,2,1,,,,,,,,1,01,17,229.71195629
5332875,1,1,1,50,17,1,,,1,1,,,,,,,,,,,,,,01,17,201.86902529
5332875,1,3,1,50,17,1,,,3,4,,2,2,2,2,2,,,,,,,,01,17,201.86902529
5332875,1,4,1,50,17,1,,,4,6,DESCANSAR,2,2,2,2,2,,,,,,,,01,17,201.86902529
5332876,1,1,1,50,17,1,2,,1,2,,2,2,2,1,,,,,,,,1,01,17,245.15074747
5332876,1,2,1,50,17,1,,,2,4,,2,2,2,2,2,,,,,,,,01,17,245.15074747
5332876,1,3,1,50,17,1,,,3,1,,,,,,,,,,,,,,01,17,245.15074747
5332876,1,4,1,50,17,1,,,4,4,,2,2,2,2,2,,,,,,,,01,17,245.15074747
5332879,1,1,1,50,15,1,,,1,1,,,,,,,,,,,,,,01,15,178.07501687
5332879,1,2,1,50,15,1,,,5,1,,,,,,,,,,,,,,01,15,178.07501687
5332879,1,5,1,50,15,1,,,5,6,PENSIONADA,2,2,2,2,2,,,,,,,,01,15,178.07501687
5332880,1,1,1,50,15,1,,,1,1,,,,,,,,,,,,,,01,15,112.84531497
5332880,1,2,1,50,15,1,,,2,1,,,,,,,,,,,,,,01,15,112.84531497
5332881,1,1,1,50,15,1,,,1,4,,2,2,2,2,2,,,,,,,,01,15,94.128462473
5332881,1,2,1,50,15,1,,,2,6,PENSIONADO,2,2,2,2,2,,,,,,,,01,15,94.128462473
5332881,1,3,1,50,15,1,2,,3,2,,2,2,2,1,,,,,,,,1,01,15,94.128462473
5332881,1,4,1,50,15,1,,,4,1,,,,,,,,,,,,,,01,15,94.128462473
5332882,1,1,1,50,15,1,2,,1,2,,2,2,2,1,,,,,,,,1,01,15,169.90659559
5332882,1,2,1,50,15,1,,,2,1,,,,,,,,,,,,,,01,15,169.90659559
5332882,1,3,1,50,15,1,,,3,3,,2,2,2,2,2,,,,,,,,01,15,169.90659559
5332882,1,4,1,50,15,1,,,2,3,,2,2,2,2,2,,,,,,,,01,15,169.90659559
5332883,1,1,1,50,15,1,,,1,1,,,,,,,,,,,,,,01,15,135.64331849
5332883,1,2,1,50,15,1,2,,2,4,,2,2,2,1,,,,,,,,1,01,15,135.64331849
5332883,1,3,1,50,15,1,,,3,3,,2,2,2,2,2,,,,,,,,01,15,135.64331849
5332883,1,4,1,50,15,1,,,2,3,,2,2,2,2,2,,,,,,,,01,15,135.64331849
5332884,1,1,1,50,15,1,,,1,6,PENSIONADO,2,2,2,2,2,,,,,,,,01,15,145.96787132
5332884,1,2,1,50,15,1,2,,2,2,,2,2,2,1,,,,,,,,1,01,15,145.96787132
5332884,1,3,1,50,15,1,,,3,3,,2,2,2,2,2,,,,,,,,01,15,145.96787132
5332885,1,1,1,50,15,1,2,,1,2,,2,2,2,1,,,,,,,,1,01,15,118.79113242
5332885,1,2,1,50,15,1,,,2,4,,2,2,2,2,2,,,,,,,,01,15,118.79113242
5332885,1,3,1,50,15,1,,,3,3,,2,2,2,2,2,,,,,,,,01,15,118.79113242
5332885,1,4,1,50,15,1,,,2,3,,2,2,2,2,2,,,,,,,,01,15,118.79113242
5332886,1,1,1,50,15,1,,,1,1,,,,,,,,,,,,,,01,15,112.17872743
5332886,1,2,1,50,15,1,,,2,1,,,,,,,,,,,,,,01,15,112.17872743
5332887,1,1,1,50,15,1,,,1,1,,,,,,,,,,,,,,01,15,118.14252013
5332888,1,1,1,50,15,1,,,1,5,,,,,,,,,,,,,,01,15,104.1493809
5332888,1,2,1,50,15,1,,,2,4,,2,2,2,2,1,11,,,,,,,01,15,104.1493809
5332888,1,3,1,50,15,1,,,3,1,,,,,,,,,,,,,,01,15,104.1493809
5332896,1,1,1,50,05,1,,,1,6,ENFERMO,2,1,,,,,,,,,,,01,05,1808.2203158
5332896,1,2,1,50,05,1,,,2,6,VACACIONES,2,1,,,,,,,,,,,01,05,1808.2203158
5332897,1,1,1,50,05,1,,,1,4,,2,2,2,2,2,,,,,,,,01,05,1188.3785632
5332898,1,1,1,50,05,1,,,1,6,LEER DEPORTE Y VER TELEVISION,2,2,2,2,2,,,,,,,,01,05,1325.6449853
5332898,1,2,1,50,05,1,,,2,4,,2,2,2,2,2,,,,,,,,01,05,1325.6449853
5332898,1,3,1,50,05,1,,,3,1,,,,,,,,,,,,,,01,05,1325.6449853
