DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,P7480S1,P7480S1A1,P7480S3,P7480S3A1,P7480S4,P7480S4A1,P7480S5,P7480S5A1,P7480S6,P7480S6A1,P7480S7,P7480S7A1,P7480S8,P7480S8A1,P7480S9,P7480S9A1,P7480S10,P7480S10A1,P7480S11,P7480S11A1,P7481,CLASE,MES,DPTO,fex_c_2011
5352481,1,1,1,90,1,4,1,20,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,15,1608.8819684
5352481,1,2,1,90,2,,2,,2,,2,,2,,2,,2,,1,40,2,,2,,,2,01,15,1608.8819684
5352482,1,1,1,90,1,5,1,16,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,15,1017.0063245
5352483,1,1,1,90,1,20,1,7,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,15,1017.0063245
5352488,1,1,1,90,2,,1,25,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,15,3741.0952795
5352488,1,2,1,90,2,,1,15,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,15,3741.0952795
5352488,1,4,1,90,2,,1,3,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,15,3741.0952795
5352489,1,1,1,90,1,4,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,15,831.35450656
5352489,1,2,1,90,1,7,1,20,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,15,831.35450656
5352489,1,3,1,90,1,2,1,7,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,15,831.35450656
5352489,1,4,1,90,1,2,1,5,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,15,831.35450656
5352496,1,1,1,90,1,30,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,15,831.35450656
5352496,1,2,1,90,1,10,1,30,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,15,831.35450656
5352497,1,1,1,90,1,10,1,20,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,15,831.35450656
5352498,1,1,1,90,1,20,1,10,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,15,831.35450656
5352498,1,2,1,90,1,15,1,30,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,15,831.35450656
5352498,1,3,1,90,1,10,1,10,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,15,831.35450656
5352532,1,1,1,90,1,3,1,10,2,,1,15,2,,2,,2,,2,,2,,2,,,2,01,44,2102.9180885
5352532,1,2,1,90,1,4,1,20,2,,1,30,2,,2,,2,,2,,2,,2,,,2,01,44,2102.9180885
5352533,1,1,1,90,1,5,1,8,2,,2,,2,,2,,2,,2,,2,,2,,,2,01,44,1594.6875623
