DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,P7480S1,P7480S1A1,P7480S3,P7480S3A1,P7480S4,P7480S4A1,P7480S5,P7480S5A1,P7480S6,P7480S6A1,P7480S7,P7480S7A1,P7480S8,P7480S8A1,P7480S9,P7480S9A1,P7480S10,P7480S10A1,P7480S11,P7480S11A1,CLASE,MES,DPTO,fex_c_2011
5373392,1,4,1,90,2,,1,24,2,,2,,2,,2,,2,,2,,2,,2,,2,02,44,726.88758541
5373393,1,1,1,90,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,10,2,02,44,1366.0243087
5373393,1,2,1,90,2,,1,30,2,,1,14,2,,2,,2,,2,,2,,2,,2,02,44,1366.0243087
5373394,1,1,1,90,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,2,2,02,44,862.3462213
5373394,1,2,1,90,2,,1,38,2,,2,,2,,2,,2,,2,,2,,1,2,2,02,44,862.3462213
5373394,1,3,1,90,2,,1,4,2,,2,,2,,2,,2,,2,,2,,2,,2,02,44,862.3462213
5373395,1,1,1,90,2,,1,28,2,,2,,2,,2,,2,,2,,2,,2,,2,02,44,901.54493458
5373395,1,2,1,90,2,,1,14,2,,2,,2,,2,,2,,2,,2,,2,,2,02,44,901.54493458
5373395,1,3,1,90,2,,1,7,2,,2,,2,,2,,2,,2,,2,,2,,2,02,44,901.54493458
5373396,1,1,1,90,2,,1,4,2,,1,1,2,,2,,2,,2,,2,,2,,2,02,44,1957.8738753
5373396,1,2,1,90,2,,1,38,2,,1,12,2,,2,,2,,2,,2,,2,,2,02,44,1957.8738753
5373396,1,3,1,90,2,,1,2,2,,1,1,2,,2,,2,,2,,2,,2,,2,02,44,1957.8738753
5373397,1,1,1,90,2,,1,21,1,28,1,35,2,,2,,2,,2,,2,,2,,2,02,44,1740.8962449
5373397,1,2,1,90,2,,1,7,1,7,1,14,2,,2,,2,,2,,2,,2,,2,02,44,1740.8962449
5373398,1,1,1,90,2,,1,21,2,,1,21,2,,2,,2,,2,,2,,2,,2,02,44,2013.246177
5373398,1,2,1,90,2,,1,28,2,,1,35,2,,2,,2,,2,,2,,2,,2,02,44,2013.246177
5373399,1,1,1,90,2,,1,7,2,,1,14,2,,2,,2,,2,,2,,1,7,2,02,44,1366.0243087
5373399,1,2,1,90,2,,1,28,2,,1,35,2,,2,,2,,2,,2,,2,,2,02,44,1366.0243087
5373400,1,1,1,90,2,,1,28,2,,2,,2,,2,,2,,2,,2,,2,,2,02,44,916.22938036
5373400,1,2,1,90,2,,1,7,2,,2,,2,,2,,2,,2,,2,,2,,2,02,44,916.22938036
5373401,1,1,1,90,2,,1,28,2,,2,,2,,2,,2,,1,3,2,,2,,2,02,44,1061.9243728
5373402,1,1,1,90,2,,1,30,2,,1,10,2,,2,,2,,2,,2,,2,,2,02,44,1620.1220548
5373402,1,2,1,90,2,,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,02,44,1620.1220548
5373403,1,1,1,90,2,,1,6,2,,2,,2,,2,,2,,2,,2,,1,16,2,02,44,887.26702363
5373403,1,2,1,90,2,,1,36,2,,2,,2,,2,,2,,2,,2,,1,24,2,02,44,887.26702363
5373404,1,1,1,90,2,,1,20,2,,2,,2,,2,,2,,2,,2,,1,10,2,02,44,1366.0243087
5373404,1,2,1,90,2,,1,36,2,,2,,2,,2,,2,,2,,2,,1,24,2,02,44,1366.0243087
5373405,1,1,1,90,2,,1,16,2,,1,2,2,,2,,2,,2,,2,,2,,2,02,44,1366.0243087
5373405,1,2,1,90,2,,1,34,2,,1,10,2,,2,,2,,2,,2,,2,,2,02,44,1366.0243087
5373406,1,1,1,90,1,14,1,28,2,,2,,2,,2,,2,,2,,2,,2,,2,02,44,894.94893209
5373407,1,1,1,90,2,,1,14,2,,2,,2,,2,,2,,2,,2,,2,,2,02,44,1040.9778455
5373408,1,1,1,90,2,,1,21,2,,2,,2,,2,,2,,2,,2,,2,,2,02,44,763.5318506
5373408,1,2,1,90,2,,1,24,2,,2,,2,,2,,2,,2,,2,,2,,2,02,44,763.5318506
5373408,1,3,1,90,2,,1,7,2,,2,,2,,2,,2,,2,,2,,2,,2,02,44,763.5318506
5373409,1,1,1,90,2,,1,7,2,,2,,2,,2,,2,,2,,2,,2,,2,02,68,709.030018
5373409,1,2,1,90,2,,1,28,2,,2,,2,,2,,2,,2,,2,,2,,2,02,68,709.030018
5373411,1,1,1,90,2,,1,2,2,,2,,2,,2,,2,,2,,2,,2,,2,02,68,1087.9005779
5373411,1,2,1,90,2,,1,2,2,,2,,2,,2,,2,,2,,2,,2,,2,02,68,1087.9005779
5373411,1,3,1,90,2,,1,2,2,,2,,2,,2,,2,,2,,2,,2,,2,02,68,1087.9005779
5373411,1,4,1,90,2,,1,4,2,,2,,2,,2,,2,,2,,2,,2,,2,02,68,1087.9005779
5373411,1,5,1,90,2,,1,4,2,,2,,2,,2,,2,,2,,2,,2,,2,02,68,1087.9005779
5373412,1,1,1,90,2,,1,28,2,,2,,2,,2,,2,,2,,2,,2,,2,02,68,524.04219623
5373412,1,2,1,90,2,,1,4,2,,2,,2,,2,,2,,2,,2,,2,,2,02,68,524.04219623
5373412,1,3,1,90,2,,1,2,2,,2,,2,,2,,2,,2,,2,,2,,2,02,68,524.04219623
5373413,1,1,1,90,2,,1,3,2,,2,,2,,2,,2,,2,,2,,2,,2,02,68,709.030018
5373413,1,2,1,90,2,,1,24,2,,2,,2,,2,,2,,2,,2,,2,,2,02,68,709.030018
5373414,1,1,1,90,2,,1,2,2,,2,,2,,2,,2,,2,,2,,2,,2,02,68,817.01869266
5373414,1,2,1,90,2,,1,28,2,,2,,2,,2,,2,,2,,2,,2,,2,02,68,817.01869266
