DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,CLASE,P7250,P7260,P7280,P7280S1,P7310,P7320,P7350,P7350S1,P7360,P9460,P7390,P7390S1,P7420,P7420S1,P7420S2,P7420S3,P7420S4,P7420S5,P7420S6,P7420S7,P7420S7A1,P7420S8,P7422,P7422S1,P1806,P1519,P1883,RAMA2D_D_R4,OFICIO1,OFICIO2,DSI,DSCY,MES,RAMA4D_D_R4,DPTO,fex_c_2011
5385239,1,2,1,70,2,1,72,4,,2,1,4,,1,2,1,,,,,,,,,,,1,1,600000,800000,2,,01,62,62,1,1,02,0126,54,337.78422794
5385242,1,5,1,70,2,3,48,4,,2,4,4,,1,2,1,,,,,,,,,,,1,1,450000,800000,2,,49,97,97,1,1,02,4923,54,604.81901696
5385244,1,4,1,70,2,1,50,4,,2,1,4,,1,2,1,,,,,,,,,,,1,1,600000,900000,2,,01,61,61,1,1,02,0126,54,730.0561336
5385246,1,2,1,70,2,1,72,4,,2,1,4,,1,2,1,,,,,,,,,,,1,2,,500000,2,,01,62,62,1,1,02,0126,54,1274.9539866
5385247,1,3,1,70,2,3,48,4,,2,3,4,,1,2,1,,,,,,,,,,,1,1,600000,800000,2,,01,62,62,1,1,02,0126,54,535.68985854
5385250,1,1,1,70,2,3,48,4,,2,4,4,,1,2,1,,,,,,,,,,,1,1,150000,500000,2,,01,62,62,1,1,02,0126,54,1351.1369118
5385251,1,1,1,70,2,2,40,4,,2,2,4,,1,2,1,,,,,,,,,,,1,1,400000,500000,2,,01,62,62,1,1,02,0126,54,713.99467797
5385251,1,2,1,70,2,2,72,4,,2,2,4,,1,2,1,,,,,,,,,,,1,2,,400000,2,,01,62,62,1,1,02,0126,54,713.99467797
5385253,1,3,1,70,2,10,48,4,,2,15,4,,1,2,1,,,,,,,,,,,1,2,,800000,2,,01,61,61,1,1,02,0161,54,392.05280327
5385260,1,1,1,70,2,3,48,1,,2,4,1,,2,2,1,,,,,,,,,,,1,1,1080000,1200000,2,,41,95,95,1,1,02,4111,54,989.8630813
5385268,1,1,1,70,2,4,50,4,,2,4,4,,1,2,8,,,,,,,,,,,1,1,250000,500000,2,,47,41,41,1,1,02,4771,54,484.14744967
5385270,1,2,1,70,2,4,45,4,,2,4,4,,1,2,2,,,,,,,,,,,1,1,600000,800000,2,,50,98,98,1,1,02,5021,54,477.1209847
5385283,1,1,1,70,2,4,80,4,,2,4,4,,1,2,1,,,,,,,,,,,1,1,400000,800000,2,,56,53,53,1,1,02,5611,54,430.21546568
