PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;P7495;P7500S1;P7500S1A1;P7500S2;P7500S2A1;P7500S3;P7500S3A1;P7505;P7510S1;P7510S1A1;P7510S2;P7510S2A1;P7510S3;P7510S3A1;P750S1;P750S1A1;P750S2;P750S2A1;P1661S5;P1661S5A1;P1661S6;P1661S6A1;P1661S3;P1661S3A1;P1661S4;P1661S4A1;P1661S4A2;P750S3;P750S3A1;P7510S5;P7510S5A1;P7510S6;P7510S6A1;P7510S7;P7510S7A1;P3367;P3368;P3369;P3370;P3370S1;P3371;P3371S1;P3371S2;P3371S3;P3371S4;P3372;P3372S1
20250313;03;2025;8144407;1;1;1;90;;2;156.76693792;68;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;2;;;;;2;
20250313;03;2025;8144407;1;2;1;90;;2;156.76693792;68;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;2;;;;;2;
20250313;03;2025;8144408;1;1;1;90;;2;120.99788557;68;1;2;;2;;1;350000;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;2;;;;;2;
20250313;03;2025;8144409;1;1;1;90;;2;115.59437726;68;1;1;750000;2;;2;;1;1;3600000;2;;2;;;;;;;;;;;;;;;;;2;;2;;2;;1;350000;0;2;;2;;;;;2;
20250313;03;2025;8144410;1;1;1;90;;2;461.55120879;68;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;55000;0;2;;2;;;;;2;
20250313;03;2025;8144410;1;2;1;90;;2;461.55120879;68;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;2;;;;;2;
20250313;03;2025;8144411;1;1;1;90;;2;566.13331967;68;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;2;;;;;2;
20250313;03;2025;8144411;1;2;1;90;;2;566.13331967;68;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;2;;;;;2;
20250313;03;2025;8144412;1;1;1;90;;2;431.73201121;68;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;2;;;;;2;
20250313;03;2025;8144412;1;2;1;90;;2;431.73201121;68;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;2;;;;;2;
20250313;03;2025;8144412;1;3;1;90;;2;431.73201121;68;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;2;;;;;2;
20250313;03;2025;8144413;1;1;1;90;;2;326.36212961;68;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;2;;;;;2;
20250313;03;2025;8144413;1;2;1;90;;2;326.36212961;68;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;2;;;;;2;
20250313;03;2025;8144414;1;1;1;90;;2;734.57209018;68;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;2;;;;;2;
20250313;03;2025;8144414;1;2;1;90;;2;734.57209018;68;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;2;;;;;2;
20250313;03;2025;8144414;1;3;1;90;;2;734.57209018;68;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;2;;;;;2;
20250313;03;2025;8144415;1;1;1;90;;2;773.31270945;68;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;90000;0;2;;2;;;;;2;
20250313;03;2025;8144415;1;2;1;90;;2;773.31270945;68;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;2;;;;;2;
20250313;03;2025;8144415;1;3;1;90;;2;773.31270945;68;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;2;;;;;2;
20250313;03;2025;8144415;1;4;1;90;;2;773.31270945;68;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;2;;;;;2;
20250313;03;2025;8144416;1;1;1;90;;2;464.79281406;68;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0;0;2;;2;;;;;2;
20250313;03;2025;8144417;1;1;1;90;;2;492.62054334;68;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;2;;;;;2;
