DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,AREA,P7430,P7450,P7450S1,P7452,P7454,P7456,P7458,P7458S1,P7460,P7470,P7472,P7472S1,P744,P1884,P1807,P6921,INI,MES,p7440,DPTO,fex_c_2011
5418567,1,3,1,80,50,2,,,,2,,,.,,,2,,,,,,1,04,,50,328.88164191
5418569,1,2,1,80,50,2,,,,2,,,.,2,,2,,,,,2,1,04,,50,275.0055171
5418570,1,2,1,80,50,1,3,,2,,,9,,2,,2,,,,,2,1,04,4,50,202.44430574
5418571,1,3,1,80,50,1,3,,2,,,9,,2,,2,,,,,2,1,04,1.3,50,231.68512085
5418573,1,2,1,80,50,2,,,,2,,,.,2,,2,,,,,2,1,04,,50,161.19397294
5418573,1,4,1,80,50,2,,,,2,,,.,2,,2,,,,,2,1,04,,50,161.19397294
5418575,1,1,1,80,50,1,8,,2,,,4,,2,,2,,,,,2,1,04,4,50,252.40845771
5418576,1,1,1,80,50,1,7,,2,,,9,,2,,2,,,,,2,1,04,1.2,50,353.06527621
5418577,1,3,1,80,50,1,4,,2,,,4,,2,,2,,,,,2,1,04,3,50,311.81494341
5418577,1,4,1,80,50,2,,,,2,,,.,,,2,,,,,,1,04,,50,311.81494341
5418578,1,2,1,80,50,1,3,,2,,,9,,2,,2,,,,,2,1,04,4,50,247.77456988
5418578,1,4,1,80,50,2,,,,2,,,.,2,,2,,,,,2,1,04,,50,247.77456988
5418578,1,5,1,80,50,2,,,,2,,,.,2,,2,,,,,2,1,04,,50,247.77456988
5418579,1,1,1,80,50,1,4,,2,,,4,,2,,2,,,,,2,1,04,3,50,251.62957143
5418579,1,2,1,80,50,1,2,,2,,,2,,2,,2,,,,,2,1,04,1.3,50,251.62957143
5418581,1,1,1,80,50,1,4,,2,,,4,,2,,2,,,,,2,1,04,3,50,202.44430574
5418581,1,2,1,80,50,1,3,,2,,,9,,2,,2,,,,,2,1,04,3,50,202.44430574
5418582,1,2,1,80,50,1,3,,2,,,9,,2,,2,,,,,2,1,04,3,50,343.35078707
5418582,1,4,1,80,50,1,2,,2,,,2,,2,,2,,,,,2,1,04,3,50,343.35078707
5418584,1,1,1,80,50,1,8,,2,,,5,,1,1,2,,,,,1,1,04,1.3,50,274.81253576
5418585,1,2,1,80,50,2,,,,2,,,.,,,2,,,,,,1,04,,50,260.53637194
5418588,1,1,1,80,50,1,4,,2,,,8,,3,,2,,,,,3,1,04,4,50,289.41086536
5418589,1,1,1,80,50,1,3,,2,,,9,,2,,2,,,,,2,1,04,4,50,251.82255277
5418591,1,2,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,04,,52,249.13867048
