DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,AREA,CLASE,P7250,P7260,P7280,P7280S1,P7310,P7320,P7350,P7350S1,P7360,P9460,P7390,P7390S1,P7420,P7420S1,P7420S2,P7420S3,P7420S4,P7420S5,P7420S6,P7420S7,P7420S7A1,P7420S8,P7422,P7422S1,P1806,P1519,P1883,RAMA2D_D_R4,OFICIO1,OFICIO2,DSI,DSCY,MES,RAMA4D_D_R4,DPTO,fex_c_2011
5393112,1,5,1,70,76,1,9,48,1,,2,18,1,,8,2,4,,,,,,,,,,,1,1,985260,985260,2,,13,87,97,1,1,03,1312,76,1077.4837011
5393114,1,3,1,70,76,1,4,48,1,,2,61,3,,2,2,4,,,,,,,,,,,1,2,,1100000,1,1,97,59,59,1,1,03,9700,76,890.61445527
5393121,1,3,1,70,76,1,104,48,1,,2,104,1,,9,2,4,,,,,,,,,,,1,2,,908526,2,,86,32,33,1,2,03,8621,76,1076.8096654
5393137,1,2,1,70,76,1,40,48,1,,2,52,4,,2,2,1,,,,,,,,,,,1,2,,1500000,2,,56,30,50,1,2,03,5630,76,612.99106223
5393140,1,1,1,70,76,1,12,42,1,,2,8,1,,3,2,8,,,,,,,,,,,1,2,,908526,2,,56,53,53,1,1,03,5611,76,1051.5755273
5393140,1,2,1,70,76,1,2,25,1,,2,8,1,,3,2,8,,,,,,,,,,,1,2,,500000,,,56,53,99,1,1,03,5611,76,1051.5755273
5393145,1,1,1,70,76,1,14,48,1,,2,14,1,,8,2,1,,,,,,,,,,,1,2,,1500000,2,,43,85,85,1,2,03,4321,76,1143.0037102
5393149,1,1,1,70,76,1,8,48,1,,2,12,1,,3,2,8,,,,,,,,,,,1,2,,908526,2,,10,45,45,1,1,03,1081,76,1051.5755273
5393149,1,2,1,70,76,1,26,48,1,,2,2,4,,1,2,8,,,,,,,,,,,1,1,200000,908526,2,,56,45,45,1,2,03,5619,76,1051.5755273
5393272,1,2,1,70,13,1,8,48,4,,2,8,4,,9,2,1,,,,,,,,,,,1,2,,900000,2,,11,97,97,1,1,03,1104,13,323.44170652
5393275,1,8,1,70,13,1,16,48,1,,2,96,1,,6,2,1,,,,,,,,,,,1,2,,900000,2,,45,45,44,1,2,03,4541,13,542.30218019
5393281,1,3,1,70,13,1,32,48,1,,2,32,1,,8,2,1,,,,,,,,,,,1,2,,908526,2,,86,39,39,1,2,03,8610,13,511.30752994
5393281,1,9,1,70,13,1,8,40,1,,1,,,,,,,,.,,,,,,,,.,,,,908526,,,,03,,1,1,03,.,13,511.30752994
5393284,1,2,1,70,13,1,16,48,3,,2,48,3,,1,2,1,,,,,,,,,,,1,2,,300000,2,,97,54,54,1,2,03,9700,13,409.24554721
5393285,1,7,1,70,13,1,12,40,1,,2,13,1,,5,2,4,,,,,,,,,,,1,2,,908526,2,,85,13,13,1,1,03,8530,13,506.4156451
5393288,1,3,1,70,13,1,5,48,1,,2,5,1,,9,2,1,,,,,,,,,,,1,2,,908526,2,,17,45,45,1,1,03,1709,13,411.03018182
5393301,1,1,1,70,13,1,52,48,1,,2,52,1,,9,2,1,,,,,,,,,,,1,2,,1500000,2,,61,39,39,1,2,03,6110,13,273.11031163
5393310,1,2,1,70,15,1,52,48,1,,2,52,1,,2,2,7,,,,,,,,,,,1,2,,1000000,2,,47,45,45,1,2,03,4774,15,138.48430934
5393314,1,3,1,70,15,1,51,48,1,,1,,,,,,,,.,,,,,,,,.,,,,908526,,,,33,,1,2,03,.,15,88.53050756
5393316,1,3,1,70,15,1,48,40,1,,2,48,4,,2,2,1,,,,,,,,,,,1,2,,908526,2,,96,39,59,1,2,03,9609,15,100.3486147
5393324,1,2,1,70,15,1,68,48,1,,2,68,4,,1,2,2,,,,,,,,,,,1,2,,908526,2,,49,98,98,1,2,03,4923,15,89.293016007
5393332,1,1,1,70,15,1,8,48,1,,2,16,1,,6,2,3,,,,,,,,,,,1,2,,1500000,2,,68,21,21,1,1,03,6820,15,112.59213808
5393336,1,3,1,70,15,1,2,40,1,,2,48,1,,6,2,2,,,,,,,,,,,1,2,,1800000,2,,86,05,39,1,1,03,8621,15,80.171919563
5393339,1,2,1,70,15,1,104,40,1,,2,104,1,,4,2,2,,,,,,,,,,,1,2,,908526,2,,25,32,32,1,2,03,2599,15,147.03524625
5393340,1,6,1,70,15,1,6,48,2,,2,6,1,,9,2,3,,,,,1,,,,,,,2,,1500000,2,,47,02,45,1,1,03,4752,15,122.54031402
5393344,1,2,1,70,15,1,8,40,1,,2,48,1,,4,2,1,,,,,,,,,,,1,2,,600000,2,,85,55,55,1,1,03,8512,15,139.24170354
5393345,1,6,1,70,15,1,48,40,1,,2,96,1,,2,2,1,,,,,,,,,,,1,2,,908526,2,,47,39,45,1,2,03,4771,15,85.695046785
5393346,1,2,1,70,15,1,24,40,1,,2,32,1,,9,2,1,,,,,,,,,,,1,2,,1200000,2,,47,45,43,1,2,03,4711,15,129.93337244
5393348,1,1,1,70,15,1,3,48,1,,2,3,1,,9,2,1,,,,,,,,,,,1,1,1100000,1100000,2,,49,98,98,1,1,03,4921,15,97.203823935
5393364,1,3,1,70,15,1,6,48,4,,2,1,4,,3,2,1,,,,,,,,,,,1,2,,908526,2,,45,97,99,1,1,03,4520,15,135.45649966
5393370,1,1,1,70,15,1,46,48,1,,2,50,1,,4,2,1,,,,,,,,,,,1,2,,1500000,2,,42,39,39,1,2,03,4210,15,112.59213808
5393387,1,1,1,70,15,1,8,40,1,,2,10,1,,8,2,4,,,,,,,,,,,1,2,,1000000,2,,86,03,03,1,1,03,8621,15,129.93337244
5393390,1,4,1,70,15,1,8,40,2,,2,8,2,,9,2,4,,,,,,,,,,,1,2,,3700000,2,,85,18,18,1,1,03,8552,15,117.68984905
5393407,1,4,1,70,19,1,52,45,1,,2,52,1,,4,2,1,,,,,,,,,,,1,2,,1400000,2,,56,53,53,1,2,03,5611,19,141.47035995
5393411,1,2,1,70,19,1,52,45,1,,2,52,4,,9,2,1,,,,,,,,,,,1,2,,98,2,,84,21,21,1,2,03,8412,19,101.06795447
5393414,1,1,1,70,19,1,4,40,1,,2,4,1,,2,2,1,,,,,,,,,,,1,2,,720000,2,,41,95,95,1,1,03,4111,19,150.93434693
5393415,1,2,1,70,19,1,104,45,1,,2,102,1,,9,2,1,,,,,,,,,,,1,2,,1500000,2,,86,07,07,1,2,03,8610,19,148.22097545
5393417,1,1,1,70,19,1,4,40,1,,2,4,4,,1,2,2,,,,,,,,,,,1,2,,98,2,,31,84,81,1,1,03,3110,19,146.58068196
5393419,1,3,1,70,19,1,48,40,1,,2,192,4,,9,2,1,,,,,,,,,,,1,2,,2600000,2,,84,19,19,1,2,03,8412,19,101.60493294
5393424,1,1,1,70,19,1,52,45,1,,2,52,1,,8,2,7,,,,,,,,,,,1,2,,1800000,2,,85,19,19,1,2,03,8544,19,153.31546381
5393427,1,5,1,70,19,1,48,50,1,,1,,,,,,,,.,,,,,,,,.,,,,2500000,,,,12,,1,2,03,.,19,124.65761786
5393430,1,2,1,70,19,1,8,45,1,,2,8,1,,2,2,1,,,,,,,,,,,1,2,,600000,2,,45,84,84,1,1,03,4520,19,109.38387712
5393430,1,3,1,70,19,1,16,45,1,,1,,,,,,,,.,,,,,,,,.,,,,800000,,,,95,,1,2,03,.,19,109.38387712
5393434,1,2,1,70,23,1,16,48,3,,2,520,1,,2,2,1,,,,,,,,,,,1,2,,400000,2,,47,54,45,1,2,03,4721,23,172.31576953
5393436,2,1,2,70,23,1,12,48,3,,2,12,4,,1,2,1,,,,,,,,,,,1,2,,200000,2,,92,54,45,1,1,03,9200,23,153.88874273
