DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,CLASE,P7250,P7260,P7280,P7280S1,P7310,P7320,P7350,P7350S1,P7360,P9460,P7390,P7390S1,P7420,P7420S1,P7420S2,P7420S3,P7420S4,P7420S5,P7420S6,P7420S7,P7420S7A1,P7420S8,P7422,P7422S1,P1806,P1519,P1883,RAMA2D_D_R4,OFICIO1,OFICIO2,DSI,DSCY,MES,RAMA4D_D_R4,DPTO,fex_c_2011
5411385,1,2,1,70,2,6,48,1,,2,7,1,,2,2,1,,,,,,,,,,,1,2,,600000,2,,96,57,57,1,1,03,9602,66,596.73307693
5411427,1,1,1,70,2,52,48,1,,2,53,1,,2,2,1,,,,,,,,,,,1,2,,700000,2,,56,53,53,1,2,03,5611,66,407.14648334
5411446,1,1,1,70,2,8,48,1,,2,12,3,,2,2,4,,,,,,,,,,,1,2,,800000,2,,97,53,54,1,1,03,9700,66,448.25139115
5411460,1,3,1,70,2,4,48,8,,2,3,8,,3,2,1,,,,,,,,,,,1,1,800000,800000,2,,01,62,62,1,1,03,0124,66,723.75593518
5411493,1,2,1,70,2,10,48,1,,2,12,1,,5,2,2,,,,,,,,,,,1,2,,1500000,2,,85,13,13,1,1,03,8530,66,474.78963423
5411498,1,1,1,70,2,56,56,2,,2,56,2,,9,2,1,,,,,,,,,,,1,2,,900000,2,,84,13,13,1,2,03,8413,66,688.78164825
5411507,1,2,1,70,2,4,50,1,,2,52,1,,6,2,8,,,,,,,,,,,1,2,,680000,2,,47,33,40,1,1,03,4711,66,654.80778496
5411545,1,2,1,70,2,24,48,3,,2,24,7,,3,2,1,,,,,,,,,,,1,2,,900000,2,,01,54,62,1,2,03,0141,68,1751.6761071
5411545,1,3,1,70,2,24,48,3,,2,24,7,,3,2,1,,,,,,,,,,,1,2,,900000,2,,01,54,62,1,2,03,0141,68,1751.6761071
5411551,1,1,1,70,2,48,48,1,,2,48,1,,2,2,1,,,,,,,,,,,1,2,,908526,2,,49,98,98,1,2,03,4923,68,1751.6761071
5411551,1,2,1,70,2,16,48,1,,2,16,4,,9,2,1,,,,,,,,,,,1,2,,908526,2,,71,32,32,1,2,03,7110,68,1751.6761071
5411551,1,3,1,70,2,41,30,3,,2,41,8,,2,2,1,,,,1,,,,,,,,2,,908526,1,4,01,54,62,1,2,03,0141,68,1751.6761071
5411551,1,4,1,70,2,24,40,1,,2,12,8,,2,2,1,,,,1,,,,,,,,2,,908526,1,4,01,60,62,1,2,03,0141,68,1751.6761071
5411566,1,2,1,70,2,16,24,1,,2,250,1,,4,2,3,,,,,,,,,,,1,2,,400000,2,,47,53,33,1,2,03,4772,68,7181.872039
