DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,P7495,P7500S1,P7500S1A1,P7500S2,P7500S2A1,P7500S3,P7500S3A1,P7505,P7510S1,P7510S1A1,P7510S2,P7510S2A1,P7510S3,P7510S3A1,P750S1,P750S1A1,P750S2,P750S2A1,P1661S1,P1661S1A1,P1661S2,P1661S2A1,P1661S3,P1661S3A1,P1661S4,P1661S4A1,P1661S4A2,P750S3,P750S3A1,P750S4,P7510S5,P7510S5A1,P7510S6,P7510S6A1,P7510S7,P7510S7A1,CLASE,MES,DPTO,fex_c_2011
5411434,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,66,644.80527543
5411434,1,2,1,95,2,,,,,,,1,2,,2,,1,960000,,,1,960000,1,960000,,,,,,,,,,,2,,2,,2,,2,03,66,644.80527543
5411434,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,66,644.80527543
5411435,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,66,678.82677294
5411435,1,2,1,95,2,,,,,,,1,1,1200000,2,,2,,,,,,,,,,,,,,,,,,2,,2,,2,,2,03,66,678.82677294
5411436,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,66,870.41003708
5411436,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,66,870.41003708
5411437,1,1,1,95,2,,,,,,,1,1,720000,2,,2,,,,,,,,,,,,,,,,,,2,,2,,2,,2,03,66,509.33352867
5411437,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,66,509.33352867
5411438,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,66,499.46112187
5411438,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,66,499.46112187
5411438,1,3,1,95,2,,,,,,,1,1,600000,2,,2,,,,,,,,,,,,,,,,,,2,,2,,2,,2,03,66,499.46112187
5411438,1,4,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,66,499.46112187
5411439,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,66,583.03514087
5411439,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,66,583.03514087
5411440,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,66,599.33461292
5411440,1,2,1,95,2,,,,,,,1,2,,2,,1,1060000,,,1,1060000,,,1,1060000,,,,,,,,,2,,2,,2,,2,03,66,599.33461292
5411440,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,66,599.33461292
5411440,1,4,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,66,599.33461292
5411440,1,5,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,66,599.33461292
5411440,1,9,1,95,2,,,,,,,1,2,,2,,1,960000,,,1,960000,,,,,1,960000,,,,,,,2,,2,,2,,2,03,66,599.33461292
5411441,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,66,996.31224509
5411441,1,2,1,95,2,,,,,,,1,2,,2,,1,1080000,,,1,1080000,1,1080000,,,,,,,,,,,2,,2,,2,,2,03,66,996.31224509
5411442,1,1,1,95,2,,,,,,,1,2,,2,,1,1200000,,,1,1200000,1,1200000,,,,,,,,,,,2,,2,,2,,2,03,66,457.62124588
5411442,1,2,1,95,2,,,,,,,1,1,3600000,2,,2,,,,,,,,,,,,,,,,,,2,,2,,2,,2,03,66,457.62124588
5411443,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,66,339.50333244
5411443,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,66,339.50333244
5411443,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,66,339.50333244
5411443,1,4,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,66,339.50333244
5411444,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,66,502.93811541
5411444,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,66,502.93811541
5411444,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,66,502.93811541
5411445,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,66,474.78963423
5411445,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,66,474.78963423
5411446,1,1,1,95,2,,,,,,,1,1,3600000,2,,2,,,,,,,,,,,,,,,,,,2,,2,,2,,2,03,66,448.25139115
5411447,1,1,1,95,2,,,,,,,1,2,,2,,1,720000,,,1,720000,1,720000,,,,,,,,,,,2,,2,,2,,2,03,66,926.25181307
5411447,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,66,926.25181307
5411447,1,7,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,66,926.25181307
5411448,1,1,1,95,2,,,,,,,1,2,,2,,1,900000,,,1,900000,,,,,1,900000,,,,,,,2,,2,,2,,2,03,66,509.33352867
5411448,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,66,509.33352867
5411449,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,66,495.72460237
5411449,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,66,495.72460237
5411449,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,66,495.72460237
5411450,1,1,1,95,2,,,,,,,1,1,700000,2,,2,,,,,,,,,,,,,,,,,,2,,2,,2,,2,03,66,520.85100786
5411450,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,66,520.85100786
5411450,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,66,520.85100786
