PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;PT;P6016;P3271;P6040;P6030S1;P6030S3;P6050;P6083;P6083S1;P6081;P6081S1;P2057;P2059;P2061;P6080;P6080S1;P6080S1A1;P6070;P6071;P6071S1;P3147S1;P3147S2;P3147S3;P3147S4;P3147S5;P3147S6;P3147S7;P3147S8;P3147S9;P3147S10;P3147S11;P3147S10A1;P6090;P6100;P6110;P6120;P1906S1;P1906S2;P1906S3;P1906S4;P1906S5;P1906S6;P1906S7;P1906S8;P6160;P6170;P3041;P3042;P3042S1;P3042S2;P3043;P3043S1;P3038;P3039;POB_MAY18;LGB_Numerica;LGB_sectores;LGBT_Numerica;Trans_numerica;Discapacidad;Dificultad;Campesina
20230205;02;2023;7339221;1;3;1;10;47;1;222.81485744;47;1;3;2;17;7;2005;3;1;2;2;;2;2;2;6;;;6;;;1;;;;;;;1;1;;;;1;3;;;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;;;;;;;;0;0;0
20230205;02;2023;7339222;1;1;1;10;47;1;183.55962941;47;1;1;2;56;2;1967;1;3;;2;;2;2;2;6;;;5;;;;1;1;;;;;;;;;;1;3;;;4;4;4;4;4;4;4;4;1;2;;3;2;;;;1;2;1;0;;0;0;0;0;0
20230205;02;2023;7339222;1;2;1;10;47;1;183.55962941;47;1;2;2;27;5;1995;3;1;1;3;;2;2;2;6;;;6;;;;;;;;;;;;;1;;1;1;1;98000;4;4;4;4;4;4;4;4;1;2;;10;10;111;7;111;1;2;1;0;;0;0;0;0;0
20230205;02;2023;7339223;1;1;1;10;47;1;206.13021786;47;1;1;1;46;8;1976;1;2;;3;;2;2;2;6;;;2;1;2;1;;;;;;;;;;;;1;1;1;98000;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;2;1;1;0;;0;0;0;0;0
20230205;02;2023;7339223;1;2;1;10;47;1;206.13021786;47;1;2;2;43;1;1980;2;2;;2;;2;2;2;6;;;2;1;1;;;;;;;;;;;1;;1;1;1;98000;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;1;2;1;0;;0;0;0;0;0
20230205;02;2023;7339223;1;3;1;10;47;1;206.13021786;47;1;3;2;16;7;2006;3;1;2;1;1;2;2;2;6;;;6;;;;;;;;;;;;;1;;1;1;5;;4;4;4;4;4;4;4;4;1;1;1;5;1;;1;;;;;;;;;0;0;0
20230205;02;2023;7339223;1;4;1;10;47;1;206.13021786;47;1;4;2;11;5;2011;3;1;2;1;1;2;2;2;6;;;6;;;;;;;;;;;;;1;;1;1;5;;4;4;4;4;4;4;4;4;1;1;1;4;1;;;;;;;;;;;0;0;0
20230205;02;2023;7339224;1;1;1;10;47;1;237.40780936;47;1;1;2;38;2;1984;1;2;;3;;2;2;2;6;;;2;1;2;1;;;1;;;;;;;;;1;3;;;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;1;2;1;0;;0;0;0;0;0
20230205;02;2023;7339224;1;2;1;10;47;1;237.40780936;47;1;2;1;25;12;1997;2;2;;2;;2;2;2;5;;;2;1;1;;;;1;;;;;;;;;1;1;1;44000;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;2;1;1;0;;0;0;0;0;0
20230205;02;2023;7339224;1;3;1;10;47;1;237.40780936;47;1;1;2;11;12;2011;3;1;1;2;;2;2;2;6;;;6;;;;;;;;;;1;;;;;1;3;;;4;4;4;4;4;4;4;4;1;1;1;3;4;;;;;;;;;;;0;0;0
20230205;02;2023;7339224;1;4;1;10;47;1;237.40780936;47;1;1;1;0;5;2022;3;1;1;1;2;2;2;2;6;;;;;;;;;;;;;;;;;;1;3;;;4;4;4;4;4;4;4;4;;;;;;;;;;;;;;;;;;0
20230205;02;2023;7339226;1;1;1;10;47;1;227.99405306;47;1;1;1;52;9;1970;1;2;;3;;2;2;2;6;;;2;1;2;;1;1;;;;;;;;;;1;1;3;140000;4;4;4;4;4;4;4;4;1;2;;8;5;1039;5;1039;2;1;1;0;;0;0;0;0;0
20230205;02;2023;7339226;1;2;1;10;47;1;227.99405306;47;1;2;2;21;11;2001;2;2;;2;;2;2;2;6;;;2;1;1;;;;;;;;;;;1;;1;1;5;;4;4;4;4;4;4;4;4;1;1;1;10;1;313;2;;1;2;1;0;;0;0;0;0;0
20230205;02;2023;7339226;1;3;1;10;47;1;227.99405306;47;1;2;1;0;6;2022;3;1;2;1;1;2;2;2;6;;;;;;;;;;;;;;;;;;1;1;5;;4;4;4;4;4;4;4;4;;;;;;;;;;;;;;;;;;0
20230205;02;2023;7339227;1;1;1;10;47;1;282.90005418;47;1;1;1;58;4;1964;1;3;;2;;2;2;2;6;;;3;1;2;;;;1;;;1;;1;;;;1;3;;;4;4;4;4;4;4;4;4;1;2;;10;10;613;7;613;2;1;1;0;;0;0;0;0;0
20230205;02;2023;7339227;1;2;1;10;47;1;282.90005418;47;1;2;2;57;4;1965;2;3;;3;;2;2;2;6;;;3;1;1;1;;;1;;;1;;1;;;;1;3;;;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;1;2;1;0;;0;0;0;0;0
20230205;02;2023;7339228;1;1;1;10;47;1;221.55048752;47;1;1;1;43;10;1979;1;2;;2;;2;2;2;6;;;2;1;2;1;;;;;;;;;;;;1;1;3;125000;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;2;1;1;0;;0;0;0;0;0
20230205;02;2023;7339228;1;2;1;10;47;1;221.55048752;47;1;2;2;33;3;1989;2;2;;2;;2;2;2;6;;;2;1;1;1;;;;;;;;;;;;1;1;5;;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;1;2;1;0;;0;0;0;0;0
20230205;02;2023;7339228;1;3;1;10;47;1;221.55048752;47;1;3;2;15;3;2007;3;1;2;1;1;2;2;2;6;;;6;;;;;;;;;;1;;;;;1;1;5;;4;4;4;4;4;4;4;4;1;1;1;4;4;;;;;;;;;;;0;0;0
20230205;02;2023;7339228;1;4;1;10;47;1;221.55048752;47;1;4;1;8;7;2014;3;1;2;1;1;2;2;2;6;;;;;;;;;;;;;;;;;;1;1;5;;4;4;4;4;4;4;4;4;1;1;1;3;3;;;;;;;;;;;0;0;0
20230205;02;2023;7339229;1;1;1;10;47;1;328.30554598;47;1;1;1;59;4;1963;1;2;;3;;2;2;2;6;;;3;1;2;;1;1;;;;1;;1;;;;1;1;1;52000;4;4;4;4;4;4;4;4;1;2;;10;10;413;7;413;2;1;1;0;;0;0;0;0;0
20230205;02;2023;7339229;1;2;1;10;47;1;328.30554598;47;1;2;2;58;7;1964;2;2;;2;;2;2;2;6;;;3;1;1;1;1;1;1;;;;;1;;;;1;1;2;40000;4;4;4;4;4;4;4;4;1;2;;10;10;413;7;413;1;2;1;0;;0;0;0;0;0
20230205;02;2023;7339229;1;3;1;10;47;1;328.30554598;47;1;3;1;27;11;1995;3;1;2;1;1;2;2;2;6;;;6;;;;1;1;1;;;;;1;;;;1;1;1;52000;4;4;4;4;4;4;4;4;1;2;;9;4;732;6;732;2;1;1;0;;0;0;0;0;0
20230205;02;2023;7339229;1;4;1;10;47;1;328.30554598;47;1;4;2;24;1;1999;3;1;2;1;1;2;2;2;6;;;6;;;1;;;;;;;1;1;;;;1;1;5;;4;4;4;4;4;4;4;4;1;1;1;10;9;111;3;;1;2;1;0;;0;0;0;0;0
20230205;02;2023;7339230;1;1;1;10;47;1;264.51067052;47;1;1;1;39;2;1984;1;3;;3;;1;;2;6;;;4;;;;;;;;;;;;;1;;1;2;2;200000;4;4;4;4;4;4;4;4;1;1;1;8;3;732;2;;2;1;1;0;;0;0;0;0;0
20230205;02;2023;7339231;1;1;1;10;47;1;271.04661245;47;1;1;2;56;10;1966;1;3;;3;;2;2;2;6;;;2;1;2;;;;;;;;;;;1;;1;1;5;;4;4;3;4;4;4;4;4;1;2;;5;1;;1;;1;2;1;0;;0;0;0;0;0
20230205;02;2023;7339231;1;2;1;10;47;1;271.04661245;47;1;2;1;62;10;1960;2;3;;2;;2;2;2;6;;;2;1;1;1;;1;;;;;;;;;;1;1;3;125000;4;4;3;4;4;4;4;4;1;2;;6;2;;3;;2;1;1;0;;0;0;0;0;0
20230205;02;2023;7339231;1;3;1;10;47;1;271.04661245;47;1;3;2;20;3;2002;3;1;1;1;2;2;2;2;6;;;6;;;;;;;;;;1;;;;;1;1;5;;4;4;4;4;4;4;4;4;1;1;2;8;1;988;3;;1;2;1;0;;0;0;0;0;0
20230205;02;2023;7339232;1;1;1;10;47;1;340.15898771;47;1;1;1;60;12;1962;1;3;;3;;2;2;2;6;;;2;1;2;1;;;;;;;;1;;;;1;1;2;130000;4;4;3;4;4;4;4;4;1;2;;4;4;;;;2;1;1;0;;0;0;0;0;0
20230205;02;2023;7339232;1;2;1;10;47;1;340.15898771;47;1;2;2;60;7;1962;2;3;;3;;2;2;2;6;;;2;1;1;1;;;;;;;;;;;;1;1;5;;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;1;2;1;0;;0;0;0;0;0
20230205;02;2023;7339232;1;3;1;10;47;1;340.15898771;47;1;3;1;31;12;1991;3;1;2;1;1;2;2;2;6;;;6;;;;;;;;;;;;;1;;1;1;3;125000;4;4;3;4;4;4;4;4;1;2;;12;4;111;9;111;2;1;1;0;;0;0;0;0;0
